59	107	31.9858
125	137	31.967
128	131	31.9629
5	71	31.9586
80	122	-31.942
134	149	31.9222
113	116	-31.8873
59	113	31.7976
11	32	31.7972
56	122	31.7809
59	116	-31.7642
50	143	31.7346
107	113	31.6782
23	95	31.6747
107	116	-31.6747
41	62	31.6337
14	143	31.6252
104	119	31.5911
83	110	31.5591
14	50	31.5394
107	125	31.5134
56	80	-31.5063
41	110	31.5018
77	140	31.4553
59	125	31.4013
17	83	31.4003
107	137	31.323
92	113	31.3118
47	74	31.3045
17	110	31.2912
92	116	-31.2861
116	125	-31.2332
74	128	31.1721
59	137	31.1701
29	53	31.1633
17	29	31.1499
80	149	31.1371
20	122	31.1141
20	80	-31.1044
20	26	-31.0951
65	116	-31.0672
122	149	-31.0437
74	131	31.0401
20	56	30.9798
38	68	30.9027
116	137	-30.8999
65	92	30.8703
56	137	30.8525
113	125	30.8002
41	146	30.7873
26	137	-30.7629
17	146	30.7483
86	92	30.7434
80	134	30.7185
122	134	-30.7099
77	101	30.6953
65	86	30.6509
101	143	30.6102
47	95	30.5853
26	56	-30.5606
47	119	30.4952
56	125	30.4858
59	92	30.4733
35	149	30.4586
26	125	-30.452
110	146	30.45
65	113	30.4448
29	32	30.4438
113	137	30.4258
65	125	30.4098
56	149	-30.3992
62	110	30.3809
8	59	30.3203
8	107	30.2858
2	86	30.2621
17	41	30.212
92	107	30.2081
56	134	-30.1944
35	80	30.1943
41	83	30.1837
59	65	30.0936
8	113	30.083
29	83	30.0753
65	137	30.0526
68	98	30.0509
14	101	30.0061
14	98	29.9782
65	107	29.9745
62	146	29.9189
26	122	-29.8731
35	134	29.8281
122	137	29.7306
44	146	29.7277
50	98	29.7208
11	29	29.6677
35	122	-29.5984
47	131	29.5977
47	128	29.5671
56	107	29.5168
26	80	29.4785
44	140	29.4495
101	140	29.4115
23	47	29.3639
8	116	-29.3159
17	53	29.3087
74	95	29.2934
92	125	29.2904
20	137	29.2846
83	146	29.278
50	101	29.2759
44	77	29.2558
122	125	29.252
74	119	29.2464
56	59	29.1712
29	110	29.1584
86	116	-29.1376
47	104	29.0998
104	131	29.0905
11	146	29.0662
80	137	-29.0589
17	32	28.9937
77	143	28.9899
29	146	28.9662
119	131	28.9645
53	83	28.8753
20	149	-28.7445
20	125	28.7386
92	137	28.7383
71	128	28.7321
32	53	28.7302
8	23	28.7286
86	113	28.7264
11	17	28.6621
98	143	28.6272
104	128	28.559
119	128	28.5476
32	146	28.5329
80	125	-28.5312
89	101	28.5094
62	83	28.4935
26	107	-28.492
71	131	28.4731
17	62	28.4685
8	125	28.4344
20	98	-28.4222
26	65	-28.3812
2	104	28.3132
74	104	28.3061
11	44	28.3005
2	92	28.2963
2	119	28.2865
20	35	-28.2614
26	59	-28.2036
8	137	28.1874
35	56	-28.1821
56	116	-28.182
107	122	28.1679
5	128	28.1258
20	134	-28.1137
8	92	28.0649
26	116	28.0405
38	98	27.8713
26	98	27.8555
5	131	27.8301
59	122	27.7694
56	113	27.7569
59	86	27.5911
134	137	-27.5621
50	77	27.5545
137	149	-27.5442
23	74	27.4951
50	68	27.4908
35	89	27.4888
11	53	27.4104
29	41	27.3741
95	119	27.3679
80	107	-27.3592
8	134	-27.2998
86	107	27.2889
14	77	27.2864
107	134	-27.162
125	134	-27.1549
86	125	27.0963
125	149	-27.0857
26	113	-27.0822
8	56	27.0461
53	110	27.0357
59	80	-26.942
8	95	26.8772
32	44	26.8432
41	44	26.8218
107	149	-26.8147
59	134	-26.7966
26	149	26.7956
20	107	26.7287
14	89	26.7202
56	65	26.7021
2	65	26.6511
140	143	26.6166
116	122	-26.6117
44	62	26.5944
32	83	26.5693
86	137	26.5288
8	149	-26.4828
14	68	26.47
59	149	-26.4272
26	134	26.4007
32	110	26.328
20	59	26.3237
17	44	26.3227
95	128	26.2678
23	119	26.2629
113	122	26.2026
11	110	26.1688
95	131	26.1142
8	65	26.1007
23	113	26.0284
11	83	26.0242
71	74	26.0119
8	122	25.9681
89	143	25.9276
26	38	25.9051
92	119	25.8282
53	146	25.7844
80	116	25.7548
68	143	25.7449
14	20	-25.6589
44	110	25.6433
20	116	-25.6283
11	41	25.5912
23	92	25.529
2	116	-25.496
2	113	25.4582
26	68	25.4494
26	92	-25.4016
5	74	25.3927
32	41	25.3361
80	113	-25.3352
80	98	25.3301
20	65	25.3079
113	134	-25.294
98	101	25.2627
44	101	25.2518
23	59	25.2501
95	104	25.2325
8	80	-25.2199
56	92	25.2139
86	119	25.2016
29	62	25.1839
116	134	25.1787
98	122	-25.1506
26	35	25.1302
65	122	25.085
50	140	24.9842
23	107	24.9621
77	89	24.9325
56	98	-24.9068
116	149	24.8815
113	149	-24.8805
14	140	24.8634
20	113	24.8183
29	44	24.8178
23	116	-24.7999
92	95	24.5903
20	68	-24.5822
41	53	24.5793
95	113	24.5505
50	89	24.5151
2	47	24.4744
77	146	24.42
35	137	-24.4133
47	92	24.3682
65	80	-24.3024
140	146	24.3014
86	104	24.2928
26	86	-24.2742
23	128	24.2642
8	26	-24.2555
92	104	24.2147
23	131	24.1658
5	53	-24.1555
89	140	24.1169
11	62	24.0926
44	143	24.0858
44	83	24.0746
23	104	24.041
8	86	24.0126
2	59	24.0125
80	89	23.9605
8	47	23.958
38	50	23.9397
20	89	-23.9013
53	71	-23.8976
20	50	-23.8621
35	125	-23.8473
20	38	-23.8105
53	65	-23.7652
113	119	23.7566
2	107	23.6583
98	137	-23.6264
32	62	23.6167
92	122	23.6028
83	86	-23.5922
38	65	-23.5804
14	26	23.5627
59	95	23.5552
11	140	23.5311
14	35	23.5235
29	116	23.5066
29	65	-23.496
8	11	-23.4945
29	92	-23.4886
2	110	-23.4303
